,,actual,prediction,teks
0,,0,-1,bukti nyata bukan hanya retorika faham kamu
1,1,0,1,datang istiqlal sambut takbir
2,1,0,1,sudah rapat istiqlal indah dalan satu islam
3,,0,-1,aniessandi agussylvi lomba cari dukung fpi apa kalian janji fpi menang pilkada dki
4,1,0,-1,dagel politik
5,,0,1,mari bapak
6,1,1,-1,tumbang nimpa sampai mrk ber tidak bangun atas mrk ahokdjarot menang
7,,0,-1,duduk dki adalah muslim so ya kita guna agama takut kalah
8,,0,1,hal lihat sepele spt trotoar bagus luas ayan cepat dikelurahan suasana lbh rasa modern
9,,0,-1,kasihan anak suruh bagi brosur gubernur program discount
10,1,1,0,pemegang amanah hadir
11,,-1,1,cara kualitas pemimpin juara bagai muslim saya tidak boleh pilih
12,,-1,1,cara kualitas pemimpin ahokjarot juara bagai muslim saya tidak boleh pilih
13,,0,-1,positif thinking aj mgkin mic rusak atw mngkin kabelny lepas hwhw
14,,-1,0,tidak menteri apa tidak punya massa buat pilpres ya ganti khan punya massa buanyaakk ya
15,,0,-1,cara guna kaum teroris lebih keji drpd cara pakai pki
16,1,-1,1,apa kita warga jakarta beri suara kepada orang goblok kayak program awang gubernur
17,,0,-1,lebih tidak malu kamu bos wong sipit kafir pake ava cewek hijab pantes panas
18,,-1,1,punya okoce cuma bapak lain cuma khayal mau maju umkm jakarta
19,,0,1,sungguh masyarakat tidak tahu apa benar bersih n apa niat tulus benar bela penting masyarakat
20,,0,-1,kamu jebak ahokdjarot
21,,0,-1,hilang harap orang anak kecil punya cita gubernur dagang ya dik
22,1,0,-1,kami sudah buat belum lain pikir
23,,-1,1,sedih saya lihat bapak saya pernah sangat kagum bapak
24,,0,-1,om waras om
25,,-1,0,kami harap setelah tangga februari kembali merah putih
26,,0,-1,agussylvi asal dongeng pnting nyinyir balkot difabel dperkaryakan tidak prnah ngantor
27,,0,1,tidak hrs melulu mnggunakan ramp lift jkt sekarang sudah mulai maju sprti kota dunia mulai peduli
28,,0,1,sikap pemahaman benar sbg makhluk semoga langit rahmat menang atau kalah anda tetap menang abang
29,,0,-1,dulu milih
30,,0,-1,ajar dosen fitnah bapak dosen apa kayak gubernur ta
31,,-1,0,cicil panjang bunga mahal aniessandi bidang dana als lintah darat
32,,0,-1,rasis
